Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2008,,,,,,,,,,,,
二零零八年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,2.0%,7.4%,3.7%,15.1%,1.9%,5.6%,5.7%,5.6%,0.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,5.7%,7.5%,13.2%,1.9%,7.5%,9.4%,3.8%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,3.8%,13.5%,15.1%,2.0%,16.7%,9.4%,0.0%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,7.3%,21.8%,10.9%,3.9%,7.3%,5.5%,3.6%,1.9%,2.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,0.0%,16.4%,7.3%,1.8%,3.6%,1.9%,1.9%,1.9%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,5.7%,5.6%,5.6%,2.8%,5.7%,0.0%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,8.3%,19.4%,26.5%,16.7%,14.3%,22.2%,5.7%,2.8%,5.6%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,8.6%,8.8%,6.9%,3.4%,0.0%,1.9%,5.3%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,7.0%,5.2%,5.3%,10.9%,5.4%,7.1%,1.8%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,1.8%,5.6%,12.7%,1.8%,1.9%,0.0%,0.0%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,1.9%,7.4%,13.0%,7.4%,1.9%,3.7%,0.0%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,1.8%,5.5%,10.9%,0.0%,3.6%,0.0%,0.0%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,5.7%,32.7%,29.4%,0.0%,5.8%,0.0%,0.0%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,1.9%,5.9%,7.3%,3.8%,1.9%,1.9%,0.0%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,1.9%,10.9%,15.1%,10.9%,7.4%,5.7%,5.5%,1.8%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,0.0%,25.4%,18.0%,6.3%,8.1%,3.2%,0.0%,0.0%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,16.7%,14.5%,9.1%,3.6%,5.7%,1.9%,0.0%,1.8%
"Kwun Tong Central
觀塘中",0.0%,0.0%,1.8%,14.5%,13.2%,14.5%,2.0%,26.4%,1.9%,0.0%,0.0%,1.8%
"Lam Tin
藍田",0.0%,0.0%,3.6%,10.9%,16.4%,10.9%,5.7%,11.3%,7.5%,3.6%,0.0%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,1.7%,13.8%,15.0%,20.7%,1.7%,12.1%,1.7%,3.3%,1.7%,1.7%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,6.0%,12.0%,2.0%,0.0%,4.0%,0.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,3.6%,8.6%,13.8%,12.1%,1.7%,3.4%,1.7%,0.0%,0.0%
"Lek Yuen
瀝源",0.0%,0.0%,0.0%,0.0%,12.7%,21.8%,7.4%,13.7%,7.7%,1.9%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,1.8%,10.7%,10.9%,10.9%,10.7%,5.4%,5.4%,7.3%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,0.0%,9.1%,16.7%,13.0%,3.8%,5.7%,1.8%,1.9%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,9.1%,11.3%,11.1%,11.3%,5.5%,5.7%,1.9%,1.8%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,5.5%,1.8%,9.3%,3.6%,1.8%,5.5%,0.0%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,14.8%,12.3%,17.5%,0.0%,8.9%,3.6%,1.8%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,24.0%,24.0%,8.0%,0.0%,8.3%,4.0%,4.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,9.1%,12.7%,10.9%,9.3%,12.7%,3.8%,1.8%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,17.0%,22.6%,9.4%,7.8%,7.5%,3.8%,2.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,5.1%,11.9%,10.2%,10.3%,8.6%,3.4%,5.4%,0.0%,0.0%
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,0.0%,14.5%,5.5%,9.3%,5.5%,1.8%,0.0%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,5.0%,5.0%,10.0%,6.7%,8.3%,10.2%,5.0%,0.0%,0.0%,1.7%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,12.0%,12.0%,0.0%,0.0%,8.3%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,17.3%,17.3%,2.0%,0.0%,3.7%,2.0%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,5.5%,14.8%,3.6%,0.0%,1.9%,1.8%,1.9%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,5.5%,18.2%,9.1%,11.1%,9.1%,9.1%,7.4%,7.3%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,0.0%,1.8%,23.2%,10.5%,1.9%,10.7%,7.0%,1.8%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.0%,0.4%,4.4%,12.4%,11.8%,5.7%,7.2%,4.2%,2.3%,0.8%,0.3%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2013,,,,,,,,,,,,
二零一三年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,1.8%,10.7%,7.0%,5.3%,5.4%,3.6%,0.0%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,3.5%,25.4%,10.2%,17.2%,5.1%,5.0%,0.0%,0.0%
"North Point
北角",1.9%,0.0%,0.0%,0.0%,5.7%,22.2%,9.4%,0.0%,3.7%,0.0%,1.9%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,10.2%,14.0%,8.3%,4.2%,2.2%,0.0%
"Happy Valley
跑馬地",0.0%,1.8%,0.0%,0.0%,3.5%,15.8%,3.5%,1.8%,0.0%,0.0%,5.3%,0.0%
"Central, Sheung Wan and Sai Ying
Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,1.8%,16.4%,16.4%,12.7%,5.6%,7.4%,3.7%,0.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,11.5%,20.8%,5.8%,9.6%,5.7%,0.0%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,1.8%,18.2%,14.5%,11.3%,3.8%,3.6%,0.0%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,10.9%,11.8%,24.5%,9.4%,1.9%,1.9%,9.3%,1.9%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,5.5%,16.4%,21.8%,13.2%,3.6%,9.1%,0.0%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,5.6%,2.8%,5.6%,5.7%,2.8%,0.0%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,5.7%,19.4%,11.1%,2.9%,2.9%,2.8%,0.0%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,5.2%,8.6%,12.3%,14.0%,10.3%,0.0%,0.0%,1.8%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,3.6%,3.6%,7.4%,12.7%,3.8%,12.7%,2.0%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,1.8%,1.9%,10.9%,0.0%,5.6%,0.0%,0.0%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,7.4%,16.7%,11.1%,2.0%,5.6%,5.7%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,3.7%,13.7%,16.7%,12.2%,9.6%,2.0%,0.0%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,1.8%,16.4%,9.1%,3.6%,1.9%,1.8%,0.0%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,1.9%,5.7%,7.4%,0.0%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,7.4%,9.1%,18.9%,11.5%,9.3%,3.7%,0.0%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,1.6%,6.3%,17.7%,16.1%,11.3%,4.8%,8.1%,1.6%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,7.3%,9.1%,7.3%,5.5%,7.3%,0.0%,0.0%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,16.4%,20.0%,28.6%,11.8%,14.3%,5.6%,1.8%,1.8%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,1.8%,23.6%,11.1%,9.3%,7.4%,7.3%,2.0%,1.9%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,0.0%,16.7%,36.2%,30.5%,5.0%,13.3%,3.3%,5.1%,0.0%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,0.0%,32.0%,10.0%,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,1.7%,20.7%,5.3%,12.3%,3.4%,3.4%,0.0%,0.0%
"Yuen Chau Kok
圓洲角",0.0%,0.0%,0.0%,0.0%,3.6%,12.7%,14.3%,7.7%,5.8%,3.8%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,5.4%,21.4%,3.6%,8.9%,5.5%,5.5%,1.8%,1.8%
"Tai Po
大埔",0.0%,0.0%,0.0%,3.7%,7.3%,12.7%,11.3%,7.3%,16.4%,9.1%,0.0%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,9.4%,13.5%,15.1%,8.0%,19.6%,1.9%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,11.1%,5.5%,5.5%,1.9%,12.7%,1.8%,0.0%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,1.8%,12.5%,16.4%,7.0%,3.6%,1.8%,0.0%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,0.0%,12.0%,21.7%,0.0%,4.2%,12.0%,0.0%,4.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,3.8%,5.6%,5.7%,3.6%,3.6%,1.9%,3.6%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,1.9%,13.2%,15.1%,5.9%,12.2%,11.8%,3.9%,0.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,25.4%,10.7%,8.6%,3.4%,5.1%,5.1%,0.0%,0.0%
"So Kwun Wat
掃管笏",0.0%,0.0%,1.8%,0.0%,23.6%,9.6%,3.8%,1.9%,3.8%,0.0%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,0.0%,6.7%,8.3%,1.7%,1.7%,5.2%,0.0%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,4.0%,0.0%,0.0%,4.0%,4.0%,0.0%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,5.7%,20.4%,16.7%,2.0%,0.0%,5.7%,0.0%,2.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,0.0%,11.3%,18.9%,1.8%,3.8%,1.8%,0.0%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,3.6%,14.5%,23.6%,7.4%,5.5%,10.9%,1.9%,0.0%,0.0%
"Tsing Yi
青衣",1.9%,0.0%,0.0%,7.3%,7.0%,7.0%,1.9%,5.3%,9.1%,0.0%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.1%,0.1%,0.1%,2.5%,11.3%,14.0%,7.2%,6.6%,5.9%,2.4%,0.6%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2014,,,,,,,,,,,,
二零一四年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,3.6%,10.9%,9.1%,7.3%,5.7%,3.6%,0.0%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,12.1%,21.4%,27.1%,8.5%,3.5%,1.7%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,13.2%,5.7%,3.7%,9.4%,1.9%,1.9%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,10.2%,4.3%,4.2%,0.0%,0.0%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,0.0%,3.5%,16.1%,16.1%,13.5%,3.5%,1.8%,0.0%,1.8%
"Central, Sheung Wan and Sai Ying
Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,0.0%,14.8%,5.6%,9.1%,3.8%,3.6%,3.6%,0.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,22.6%,7.4%,9.3%,3.9%,9.6%,1.9%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,0.0%,2.0%,5.9%,3.8%,4.3%,3.8%,0.0%,3.7%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,0.0%,16.3%,6.1%,10.4%,6.1%,4.3%,4.3%,0.0%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,1.8%,13.0%,32.1%,10.9%,0.0%,0.0%,0.0%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,2.9%,11.8%,20.6%,13.9%,5.6%,0.0%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,5.4%,13.2%,13.5%,8.1%,2.7%,8.1%,0.0%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,0.0%,12.3%,14.5%,1.8%,0.0%,0.0%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,1.8%,3.7%,5.5%,1.9%,1.8%,1.8%,0.0%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,0.0%,16.0%,9.3%,2.1%,9.6%,4.0%,0.0%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,9.3%,23.6%,14.8%,5.5%,3.7%,0.0%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,3.7%,9.3%,5.7%,13.5%,7.4%,1.9%,1.9%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,1.8%,18.2%,3.7%,13.2%,4.0%,7.3%,0.0%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,0.0%,9.4%,9.6%,5.9%,3.7%,9.8%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,0.0%,7.4%,13.2%,10.0%,11.3%,1.9%,3.8%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,0.0%,6.3%,20.6%,3.2%,6.3%,3.2%,1.7%,0.0%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,3.8%,3.8%,1.9%,11.8%,1.9%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,3.8%,11.8%,20.4%,3.8%,7.3%,7.5%,1.9%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,3.7%,32.7%,18.9%,13.0%,7.7%,5.9%,1.8%,0.0%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,0.0%,18.3%,45.6%,13.3%,8.6%,5.2%,0.0%,1.7%,0.0%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,10.0%,30.6%,10.4%,8.2%,4.0%,0.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,3.4%,17.2%,41.4%,3.6%,3.6%,3.6%,0.0%,0.0%
"Yuen Chau Kok
圓洲角",0.0%,0.0%,0.0%,0.0%,10.9%,12.7%,29.6%,16.7%,11.3%,9.1%,3.7%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,7.3%,16.4%,23.6%,8.9%,1.9%,3.6%,0.0%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,0.0%,3.6%,27.3%,5.6%,3.7%,9.3%,1.9%,1.9%,1.9%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,16.7%,13.0%,9.4%,13.0%,0.0%,5.6%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,5.7%,18.2%,10.9%,14.5%,5.8%,1.9%,0.0%,1.9%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,3.6%,3.8%,10.9%,14.0%,5.3%,1.8%,2.0%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,0.0%,12.0%,16.0%,16.0%,16.0%,4.0%,8.3%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,0.0%,20.0%,7.7%,5.7%,1.9%,1.8%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,2.0%,9.4%,2.0%,3.8%,9.6%,1.9%,0.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,8.5%,7.0%,5.1%,3.4%,0.0%,3.5%,1.7%,0.0%
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,0.0%,5.7%,11.1%,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,3.4%,25.5%,6.7%,12.3%,3.6%,3.4%,0.0%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,12.0%,4.2%,4.0%,8.0%,8.7%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,1.9%,20.4%,3.8%,2.0%,0.0%,0.0%,0.0%,1.9%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,10.2%,14.8%,5.8%,5.6%,7.4%,0.0%,0.0%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,1.9%,14.5%,20.0%,5.5%,10.9%,9.3%,3.6%,0.0%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,0.0%,0.0%,22.8%,5.5%,5.4%,7.1%,5.3%,0.0%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.0%,0.0%,1.8%,12.0%,11.7%,10.4%,6.3%,3.9%,2.2%,0.4%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2015,,,,,,,,,,,,
二零一五年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,3.5%,3.6%,19.6%,16.4%,5.6%,1.8%,3.6%,0.0%,0.0%
"Tin Hau
天后",,,,,,,,,,11.1%,9.1%,1.9%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,1.8%,15.5%,8.5%,1.8%,1.7%,3.4%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,1.9%,15.4%,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,4.2%,1.9%,3.8%,9.6%,1.9%,0.0%,0.0%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,1.8%,1.8%,22.8%,8.8%,12.5%,5.3%,0.0%,0.0%,0.0%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,3.6%,7.4%,7.3%,5.5%,7.1%,3.6%,0.0%,1.6%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,18.2%,3.9%,5.5%,12.7%,7.3%,1.8%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,3.8%,7.4%,11.3%,5.6%,1.9%,5.6%,3.7%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,2.1%,6.3%,15.2%,8.3%,10.4%,8.9%,2.2%,2.2%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,3.7%,0.0%,24.1%,0.0%,3.6%,9.1%,0.0%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,5.6%,5.6%,11.1%,5.6%,0.0%,2.8%,2.8%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,13.5%,18.4%,7.9%,0.0%,2.6%,0.0%,0.0%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,1.8%,23.2%,8.8%,9.8%,3.7%,3.6%,0.0%,1.8%
"Tsim Sha Tsui East
尖沙咀東",,,,,,,,,,3.9%,1.9%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,1.8%,7.1%,0.0%,1.8%,3.6%,3.6%,0.0%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,8.0%,13.7%,3.9%,2.0%,5.9%,1.9%,3.9%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,3.6%,9.1%,7.5%,5.6%,5.5%,1.9%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,0.0%,22.6%,10.0%,6.1%,5.6%,0.0%,0.0%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,0.0%,3.6%,5.6%,1.8%,6.0%,7.3%,3.6%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,1.9%,7.5%,5.7%,11.8%,2.0%,0.0%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,3.8%,17.6%,5.6%,17.3%,5.7%,0.0%,0.0%,0.0%
"Lok Fu West
樂富西",,,,,,,,,,13.2%,1.9%,0.0%
"Kai Tak North
啟德北",,,,,,,,,,14.3%,0.0%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,0.0%,0.0%,8.2%,4.9%,7.9%,6.3%,0.0%,1.6%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,5.7%,13.7%,7.8%,6.0%,3.8%,2.0%,0.0%,0.0%
"Ngau Chi Wan
牛池灣",,,,,,,,,,5.5%,5.7%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,6.7%,25.4%,12.1%,6.7%,16.9%,3.4%,1.7%,1.7%,0.0%
"Lam Tin
藍田",0.0%,0.0%,3.6%,1.8%,33.3%,9.1%,3.6%,3.6%,0.0%,1.8%,0.0%,0.0%
"Kowloon Bay
九龍灣",,,,,,,,,,18.5%,1.9%,0.0%
"Tseung Kwan O South (Formerly: Tseung Kwan O)
將軍澳南 (前稱: 將軍澳)",0.0%,0.0%,0.0%,3.4%,8.6%,8.3%,0.0%,8.8%,8.6%,1.8%,1.8%,0.0%
"Tseung Kwan O North
將軍澳北",,,,,,,,,,7.0%,5.0%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,2.0%,2.0%,18.0%,2.0%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,1.7%,5.2%,22.4%,19.0%,17.2%,1.7%,3.4%,0.0%,1.8%
"Yuen Chau Kok
圓洲角",0.0%,0.0%,0.0%,0.0%,5.2%,21.1%,26.8%,17.9%,3.7%,12.5%,1.7%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,1.8%,8.9%,12.5%,17.9%,3.6%,1.8%,1.8%,0.0%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,5.7%,3.7%,22.6%,7.8%,1.9%,26.9%,1.9%,0.0%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,5.7%,20.4%,3.7%,5.6%,13.0%,3.7%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,7.3%,22.2%,5.5%,16.4%,10.9%,0.0%,0.0%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,0.0%,17.9%,14.3%,5.4%,5.3%,3.7%,1.8%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,0.0%,0.0%,16.0%,0.0%,8.0%,16.0%,8.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,3.9%,9.6%,0.0%,1.9%,1.8%,3.6%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,1.9%,1.9%,0.0%,7.7%,0.0%,1.9%,9.8%,0.0%,0.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,1.8%,6.8%,13.8%,7.0%,8.6%,11.9%,0.0%,0.0%,0.0%
